Correctly Predicted Values:

4 = 3
8 = 1
8 = 4
8 = 3
8 = 6
8 = 3
8 = 1
8 = 3
4 = 2
8 = 0
8 = 6
4 = 1
0 = 5
8 = 6
0 = 8
7 = 475
8 = 0
4 = 3
4 = 0
1 = 6
4 = 1
4 = 3
8 = 9
0 = 3
8 = 0
8 = 5
0 = 5
8 = 6
0 = 6
7 = 476
8 = 1
4 = 0
8 = 3
0 = 3
8 = 5
8 = 3
8 = 0
8 = 0
4 = 1
8 = 5
8 = 0
8 = 6
8 = 6
8 = 1
8 = 6
1 = 5
4 = 9
8 = 1
8 = 3
8 = 4
8 = 0
8 = 5
4 = 8
4 = 8
8 = 0
8 = 0
8 = 1
8 = 5
7 = 10
7 = 10
7 = 10
8 = 2
8 = 9
8 = 1
4 = 0
8 = 6
8 = 1
7 = 10
0 = 8
8 = 0
4 = 0
8 = 1
8 = 5
1 = 0
4 = 8
8 = 2
8 = 9
8 = 5
8 = 3
4 = 9
8 = 4
8 = 1
8 = 3
8 = 6
4 = 2
7 = 477
0 = 5
1 = 6
8 = 6
8 = 3
8 = 9
4 = 1
8 = 1
8 = 0
8 = 9
8 = 6
7 = 478
8 = 2
8 = 0
8 = 0
4 = 5
7 = 479
4 = 0
8 = 6
8 = 1
8 = 5
8 = 5
8 = 5
8 = 6
8 = 5
8 = 2
1 = 8
8 = 5
8 = 2
7 = 480
4 = 2
0 = 8
4 = 3
8 = 0
8 = 0
4 = 8
8 = 5
0 = 6
8 = 0
8 = 6
8 = 6
8 = 0
8 = 0
1 = 6
8 = 5
4 = 0
4 = 1
4 = 0
0 = 2
8 = 0
8 = 6
8 = 6
8 = 6
8 = 6
8 = 3
8 = 9
8 = 9
0 = 4
8 = 0
8 = 3
8 = 4
4 = 9
4 = 8
8 = 0
8 = 0
4 = 6
8 = 5
0 = 8
8 = 0
8 = 0
4 = 0
8 = 5
8 = 5
4 = 5
8 = 6
8 = 3
4 = 1
8 = 5
8 = 0
8 = 6
4 = 9
8 = 0
8 = 3
8 = 0
8 = 9
8 = 1
8 = 2
4 = 0
4 = 1
7 = 10
7 = 20
8 = 5
8 = 1
8 = 3
4 = 6
4 = 8
8 = 5
8 = 0
8 = 0
4 = 1
8 = 1
8 = 5
8 = 6
4 = 8
8 = 0
8 = 9
8 = 5
8 = 6
8 = 4
7 = 10
8 = 3
1 = 2
7 = 481
4 = 5
4 = 9
8 = 3
4 = 6
8 = 3
7 = 482
8 = 1
8 = 3
8 = 0
8 = 5
8 = 6
4 = 6
8 = 3
8 = 4
8 = 2
8 = 2
8 = 0
8 = 0
8 = 6
8 = 6
8 = 6
4 = 8
8 = 0
8 = 1
1 = 5
7 = 483
8 = 3
8 = 6
4 = 0
4 = 2
8 = 2
0 = 4
8 = 0
4 = 0
8 = 0
8 = 1
7 = 20
8 = 3
4 = 5
1 = 5
8 = 1
8 = 0
8 = 5
8 = 4
0 = 3
1 = 2
8 = 3
8 = 2
8 = 5
8 = 5
4 = 8
8 = 5
1 = 3
8 = 5
8 = 5
8 = 3
8 = 0
8 = 1
8 = 1
1 = 9
1 = 0
8 = 4
8 = 0
1 = 3
4 = 5
1 = 3
0 = 4
8 = 2
4 = 3
8 = 4
4 = 3
4 = 3
4 = 2
8 = 2
8 = 1
4 = 6
8 = 9
8 = 3
8 = 0
8 = 6
8 = 3
8 = 3
0 = 8
8 = 0
8 = 5
7 = 20
0 = 5
8 = 2
8 = 1
8 = 5
8 = 9
8 = 3
8 = 5
4 = 0
7 = 484
8 = 5
8 = 5
8 = 5
8 = 5
4 = 5
8 = 4
8 = 4
4 = 8
4 = 2
4 = 0
8 = 5
8 = 6
8 = 1
8 = 0
8 = 0
8 = 3
8 = 1
8 = 0
1 = 5
8 = 6
8 = 6
8 = 9
1 = 6
8 = 5
4 = 8
0 = 8
4 = 0
4 = 0
8 = 6
4 = 0
1 = 9
8 = 5
8 = 5
8 = 6
8 = 9
8 = 1
8 = 9
0 = 3
8 = 5
0 = 8
8 = 5
8 = 4
8 = 3
4 = 5
8 = 0
8 = 3
4 = 1
4 = 0
4 = 0
8 = 0
8 = 1
4 = 5
1 = 4
8 = 3
8 = 0
8 = 0
8 = 1
8 = 5
8 = 5
8 = 6
1 = 9
4 = 0
8 = 5
8 = 0
8 = 5
8 = 1
4 = 9
8 = 5
8 = 6
8 = 1
8 = 0
1 = 5
1 = 2
8 = 6
8 = 5
4 = 5
4 = 3
8 = 0
0 = 9
4 = 1
8 = 5
4 = 5
8 = 4
8 = 5
8 = 1
8 = 5
8 = 1
8 = 5
8 = 6
0 = 4
8 = 0
8 = 0
8 = 1
4 = 5
8 = 3
1 = 4
8 = 4
4 = 1
8 = 5
8 = 0
8 = 0
8 = 1
4 = 6
4 = 2
4 = 3
8 = 4
8 = 0
8 = 0
8 = 0
8 = 0
4 = 1
8 = 5
8 = 5
4 = 5
8 = 1
8 = 9
8 = 2
8 = 0
8 = 6
8 = 0
1 = 2
0 = 8
4 = 5
4 = 3
8 = 9
8 = 5
8 = 6
8 = 6
7 = 485
8 = 6
8 = 5
8 = 5
8 = 6
4 = 0
4 = 3
8 = 5
4 = 0
8 = 5
4 = 1
0 = 6
8 = 5
4 = 8
8 = 5
8 = 6
8 = 1
4 = 5
4 = 6
0 = 9
1 = 3
8 = 4
7 = 10
8 = 5
7 = 10
0 = 6
8 = 5
1 = 5
8 = 0
8 = 0
8 = 5
8 = 5
8 = 5
8 = 5
4 = 6
8 = 3
8 = 2
8 = 2
8 = 0
4 = 0
8 = 6
8 = 1
8 = 5
4 = 1
8 = 6
4 = 0
4 = 3
4 = 9
0 = 6
7 = 20
0 = 1
8 = 1
1 = 8
8 = 1
4 = 5
1 = 9
8 = 2
4 = 6
8 = 5
0 = 5
0 = 4
4 = 1
8 = 5
4 = 6
0 = 6
8 = 9
4 = 9
1 = 2
1 = 9
8 = 1
8 = 3
0 = 5
8 = 5
4 = 5
8 = 3
8 = 3
0 = 8
8 = 9
4 = 5
7 = 10
8 = 5
0 = 6
1 = 2
4 = 8
8 = 6
4 = 0
8 = 6
8 = 0
4 = 9
0 = 4
8 = 6
8 = 5
8 = 3
4 = 3
0 = 4
8 = 3
4 = 8
8 = 0
4 = 0
8 = 1
8 = 1
8 = 5
8 = 9
0 = 5
8 = 5
8 = 6
8 = 2
8 = 5
8 = 0
8 = 5
8 = 6
1 = 5
0 = 6
7 = 10
4 = 2
4 = 3
8 = 0
8 = 1
8 = 1
8 = 3
1 = 9
4 = 0
8 = 6
8 = 6
8 = 0
4 = 2
4 = 3
8 = 0
4 = 0
8 = 1
8 = 5
8 = 5
8 = 1
8 = 3
8 = 2
8 = 3
8 = 0
4 = 0
8 = 1
8 = 5
8 = 5
8 = 6
8 = 6
8 = 6
8 = 6
8 = 2
8 = 0
8 = 0
8 = 0
4 = 1
8 = 3
8 = 6
8 = 3
8 = 3
8 = 1
4 = 9
7 = 20
1 = 6
8 = 5
8 = 0
8 = 5
4 = 5
8 = 9
8 = 9
8 = 1
4 = 9
8 = 5
8 = 5
8 = 6
8 = 0
8 = 9
8 = 5
1 = 4
4 = 6
7 = 10
8 = 0
8 = 0
0 = 1
8 = 5
7 = 10
8 = 0
4 = 2
8 = 5
8 = 6
8 = 6
8 = 5
8 = 3
8 = 4
0 = 8
8 = 9
8 = 5
8 = 6
8 = 6
8 = 5
7 = 20
8 = 5
8 = 0
4 = 0
8 = 6
8 = 5
8 = 6
8 = 6
4 = 8
4 = 8
0 = 1
8 = 5
8 = 6
8 = 0
8 = 5
1 = 2
4 = 9
8 = 9
1 = 5
4 = 0
4 = 3
8 = 0
0 = 5
4 = 8
8 = 6
4 = 5
8 = 9
8 = 5
1 = 8
8 = 6
8 = 0
8 = 1
8 = 0
8 = 0
7 = 10
8 = 1
8 = 5
8 = 5
8 = 2
8 = 0
4 = 8
0 = 8
8 = 0
4 = 0
8 = 6
8 = 9
8 = 5
7 = 486
4 = 8
1 = 3
8 = 1
8 = 2
4 = 6
1 = 6
8 = 6
4 = 6
8 = 2
8 = 5
8 = 0
8 = 0
8 = 0
4 = 1
4 = 6
7 = 487
4 = 2
8 = 6
4 = 3
8 = 6
7 = 10
8 = 3
8 = 2
8 = 6
8 = 1
8 = 5
8 = 5
8 = 5
4 = 5
7 = 10
8 = 0
4 = 3
4 = 8
8 = 3
8 = 1
7 = 488
8 = 2
8 = 6
8 = 1
8 = 0
8 = 1
8 = 1
4 = 6
4 = 6
8 = 0
4 = 0
8 = 1
0 = 5
4 = 8
4 = 8
8 = 0
8 = 5
8 = 5
8 = 5
4 = 5
8 = 0
7 = 489
8 = 6
0 = 8
8 = 3
8 = 0
8 = 6
1 = 0
4 = 5
4 = 0
4 = 0
8 = 1
8 = 5
1 = 9
8 = 2
1 = 5
4 = 3
8 = 1
8 = 5
8 = 9
0 = 8
8 = 1
4 = 3
8 = 0
8 = 6
8 = 1
8 = 9
8 = 0
4 = 5
8 = 6
0 = 6
8 = 3
1 = 5
8 = 5
8 = 5
4 = 6
8 = 2
8 = 1
1 = 5
8 = 9
4 = 9
4 = 2
4 = 0
4 = 2
8 = 5
4 = 5
8 = 5
8 = 1
4 = 2
8 = 3
8 = 5
8 = 9
8 = 2
8 = 5
8 = 3
4 = 8
8 = 0
0 = 6
8 = 0
8 = 5
4 = 1
8 = 6
8 = 4
8 = 1
8 = 5
8 = 9
8 = 5
8 = 0
8 = 5
8 = 5
8 = 5
8 = 2
8 = 0
8 = 0
8 = 5
8 = 3
4 = 1
8 = 2
8 = 5
1 = 8
8 = 0
8 = 6
4 = 2
8 = 0
8 = 0
4 = 5
0 = 5
8 = 1
8 = 0
8 = 1
8 = 5
8 = 5
8 = 9
1 = 9
8 = 5
7 = 10
8 = 6
8 = 1
8 = 1
8 = 4
8 = 0
0 = 9
8 = 1
8 = 5
8 = 0
7 = 490
8 = 6
8 = 3
0 = 1
1 = 8
8 = 3
8 = 3
8 = 3
8 = 2
0 = 6
4 = 1
4 = 2
8 = 3
0 = 8
8 = 0
0 = 5
8 = 5
8 = 6
8 = 6
8 = 2
8 = 3
8 = 0
8 = 5
8 = 1
8 = 2
8 = 5
8 = 0
8 = 5
8 = 9
8 = 0
4 = 5
8 = 4
8 = 3
4 = 0
4 = 9
0 = 6
4 = 8
4 = 0
8 = 5
4 = 5
4 = 5
1 = 9
8 = 1
4 = 2
8 = 9
8 = 1
0 = 5
0 = 8
0 = 8
8 = 3
8 = 1
0 = 6
4 = 6
1 = 8
8 = 1
4 = 2
8 = 1
4 = 5
8 = 5
7 = 10
8 = 3
8 = 3
4 = 0
8 = 5
8 = 5
0 = 5
8 = 6
8 = 1
8 = 6
4 = 3
1 = 8
8 = 1
1 = 2
4 = 9
8 = 3
8 = 3
8 = 6
8 = 2
8 = 2
1 = 4
8 = 0
8 = 0
4 = 5
1 = 8
8 = 0
4 = 1
4 = 5
4 = 5
8 = 6
4 = 2
8 = 2
8 = 5
8 = 6
8 = 6
8 = 2
8 = 1
4 = 0
8 = 2
4 = 6
8 = 0
4 = 5
4 = 5
8 = 6
4 = 2
4 = 8
8 = 5
7 = 10
4 = 6
8 = 6
4 = 8
4 = 8
8 = 5
8 = 6
4 = 6
8 = 5
4 = 2
8 = 2
8 = 2
4 = 0
8 = 0
4 = 1
4 = 5
8 = 6
4 = 9
8 = 9
8 = 2
8 = 0
8 = 2
8 = 0
0 = 5
8 = 5
8 = 5
7 = 6
4 = 2
1 = 8
8 = 2
8 = 0
8 = 5
8 = 6
7 = 491
4 = 6
8 = 1
8 = 0
4 = 8
8 = 2
1 = 8
4 = 8
4 = 0
4 = 0
8 = 6
4 = 9
8 = 5
4 = 6
8 = 1
8 = 3
8 = 0
7 = 10
4 = 8
8 = 0
8 = 0
8 = 6
8 = 0
8 = 9
4 = 8
8 = 1
8 = 3
8 = 1
4 = 0
8 = 6
4 = 6
8 = 5
8 = 2
0 = 8
4 = 0
8 = 0
8 = 5
7 = 20
4 = 1
4 = 1
8 = 1
8 = 0
8 = 3
8 = 3
8 = 5
8 = 5
8 = 9
8 = 2
4 = 0
4 = 1
8 = 4
1 = 5
1 = 8
8 = 3
8 = 6
4 = 5
0 = 5
7 = 10
8 = 6
4 = 3
8 = 5
8 = 2
4 = 3
8 = 0
8 = 0
8 = 1
4 = 3
8 = 0
8 = 1
0 = 1
8 = 5
1 = 6
7 = 10
8 = 4
8 = 6
4 = 8
8 = 5
8 = 2
4 = 5
4 = 5
8 = 1
8 = 0
0 = 9
4 = 0
0 = 6
8 = 6
4 = 2
8 = 2
8 = 0
8 = 3
8 = 1
8 = 1
8 = 2
8 = 5
4 = 6
0 = 8
4 = 0
8 = 2
8 = 1
1 = 8
4 = 9
4 = 1
0 = 6
4 = 1
8 = 3
8 = 1
8 = 5
8 = 2
8 = 0
8 = 1
8 = 5
4 = 6
8 = 6
4 = 6
1 = 8
8 = 6
8 = 5
8 = 5
1 = 2
1 = 8
8 = 5
8 = 4
8 = 6
4 = 6
4 = 5
4 = 5
0 = 5
0 = 6
8 = 2
8 = 5
0 = 6
8 = 9
4 = 1
7 = 10
8 = 1
8 = 4
8 = 5
8 = 5
8 = 6
8 = 1
8 = 2
4 = 1
7 = 10
1 = 4
8 = 6
8 = 9
8 = 0
8 = 5
4 = 6
8 = 3
4 = 3
4 = 8
8 = 0
8 = 0
4 = 0
8 = 0
0 = 6
8 = 3
8 = 0
8 = 0
8 = 5
4 = 6
8 = 6
8 = 0
8 = 6
8 = 0
8 = 2
8 = 2
8 = 2
1 = 0
8 = 0
8 = 3
8 = 0
0 = 2
4 = 0
8 = 0
4 = 0
8 = 5
4 = 8
8 = 3
